Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR
Bill Schroeder,27,MIL,AL,64,237,217,32,46,14,0,7,19,1,0,9,59,.212,.262,.373,.635,69,81,3,6,4,1,0,23D/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,AL,54,48,44,439.0,333,307,25,1,13,.997,-1,-1,6.81,6.15,C-1B,MIL,AL,35,31,29,286.0,205,190,14,1,3,.995,-1,-4,-1,6.42,5.83,2,10,25,8,24%,769,MIL,4,64,58,64,54,0,35,19,0,0,0,0,0,0,0,10,1,0
Rick Schu,24,PHI,NL,92,233,208,32,57,10,1,8,25,2,2,18,44,.274,.335,.447,.782,112,93,1,2,3,2,1,5H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHI,NL,58,42,37,414.0,149,42,94,13,6,.913,-8,-24,2.96,2.34,3B,,,,,,,,,,,,,,,,,,,,,,,771,PHI,3,92,42,92,58,0,0,0,0,58,0,0,0,0,0,0,36,1
Mike Scioscia,27,LAD,NL,122,449,374,36,94,18,1,5,26,3,3,62,23,.251,.359,.345,.704,102,129,11,3,6,4,4,*2H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,119,108,95,961.0,835,756,64,15,4,.982,-3,-4,7.68,6.89,C,LAD,NL,119,108,95,961.0,835,756,64,15,4,.982,-3,-4,-3,7.68,6.89,7,36,81,40,33%,773,LAD,7,122,108,122,118,0,118,0,0,0,0,0,0,0,0,0,11,0
Mike Scott,31,HOU,NL,38,107,95,7,12,2,0,0,3,0,0,2,48,.126,.144,.147,.292,-18,14,0,0,10,0,0,1/H,R,NL,18,10,.643,2.22,37,37,0,7,5,0,275.1,182,73,68,17,72,6,306,2,0,3,1065,161,2.16,0.923,5.9,0.6,2.4,10.0,4.25,R,HOU,NL,37,37,7,275.1,65,24,39,2,2,.969,,,2.06,1.70,P,,,,,,,,,,,,,,,,,,,,,,,774,HOU,8,38,37,38,37,37,0,0,0,0,0,0,0,0,0,0,1,0
Bob Sebra,24,MON,NL,18,30,29,2,6,1,0,0,0,0,0,1,5,.207,.233,.241,.475,32,7,1,0,0,0,0,1/H,R,NL,5,5,.500,3.55,17,13,4,3,1,0,91.1,82,39,36,9,25,2,66,3,3,2,377,105,3.53,1.172,8.1,0.9,2.5,6.5,2.64,R,MON,NL,17,13,3,91.1,16,8,8,0,2,1.000,,,1.58,0.94,P,,,,,,,,,,,,,,,,,,,,,,,778,MON,2,18,13,18,17,17,0,0,0,0,0,0,0,0,0,0,1,0
Larry See,26,LAD,NL,13,22,20,1,5,2,0,0,2,0,0,2,7,.250,.318,.350,.668,91,7,0,0,0,0,0,/3H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,9,6,1,43.2,48,41,6,1,3,.979,0,11,9.69,5.22,1B,,,,,,,,,,,,,,,,,,,,,,,779,LAD,1st,13,6,13,9,0,0,9,0,0,0,0,0,0,0,0,5,0
Kevin Seitzer,24,KCR,AL,28,116,96,16,31,4,1,2,11,0,0,19,14,.323,.440,.448,.888,142,43,0,1,0,0,0,3/75H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCR,AL,30,27,25,240.2,246,224,19,3,17,.988,1,3,9.09,8.10,1B-OF-3B,,,,,,,,,,,,,,,,,,,,,,,780,KCR,1st,28,27,28,28,0,0,22,0,3,0,5,0,0,5,0,1,0
Larry Sheets,26,BAL,AL,112,364,338,42,92,17,1,18,60,2,0,21,56,.272,.317,.488,.805,118,165,16,2,1,2,3,D7H9/235,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAL,AL,44,38,17,300.0,101,90,8,3,4,.970,-1,-2,2.94,2.23,OF-1B-C-3B,BAL,AL,6,2,1,21.0,12,10,1,1,0,.917,-1,-57,-1,4.71,1.83,0,1,2,0,0%,782,BAL,3,112,95,112,42,0,6,4,0,2,0,21,0,11,32,57,16,0
John Shelby,28,BAL,AL,135,428,404,54,92,14,4,11,49,18,6,18,75,.228,.263,.364,.627,70,147,3,2,2,2,0,*879H/D,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAL,AL,121,90,75,861.1,232,222,5,5,2,.978,-8,-11,2.37,1.88,OF,,,,,,,,,,,,,,,,,,,,,,,783,BAL,6,135,90,135,121,0,0,0,0,0,0,48,56,31,121,2,20,8
Ron Shepherd,25,TOR,AL,65,73,69,16,14,4,0,2,4,0,0,3,22,.203,.236,.348,.584,55,24,1,0,1,0,0,HD798,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,AL,32,16,9,160.0,30,30,0,0,0,1.000,-5,-36,1.69,0.94,OF,,,,,,,,,,,,,,,,,,,,,,,784,TOR,3,65,17,65,32,0,0,0,0,0,0,12,10,11,32,16,10,29
