Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR
Jim Acker,27,TOT,MLB,21,28,28,1,3,1,0,0,0,0,0,0,21,.107,.107,.143,.250,-33,4,0,0,0,0,0,1,R,MLB,5,12,.294,4.01,44,19,9,0,0,0,155.0,163,81,69,13,48,6,69,3,1,5,661,102,3.96,1.361,9.5,0.8,2.8,4.0,1.44,R,TOT,ZZ,44,19,0,155.0,44,16,28,0,4,1.000,,,2.55,1.00,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,0,0
Jim Acker,27,ATL,NL,21,28,28,1,3,1,0,0,0,0,0,0,21,.107,.107,.143,.250,-33,4,0,0,0,0,0,1,R,NL,3,8,.273,3.79,21,14,3,0,0,0,95.0,100,47,40,7,26,3,37,1,0,2,402,105,3.80,1.326,9.5,0.7,2.5,3.5,1.42,R,TOT,ZZ,44,19,0,155.0,44,16,28,0,4,1.000,,,2.55,1.00,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,0,0
Jim Adduci,26,MIL,AL,3,13,11,2,1,1,0,0,0,0,0,1,2,.091,.167,.182,.348,-6,2,0,0,1,0,0,/3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,AL,3,3,3,24.2,28,25,3,0,1,1.000,0,-15,10.22,9.33,1B,,,,,,,,,,,,,,,,,,,,,,,3,MIL,2,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Luis Aguayo,27,PHI,NL,62,146,133,17,28,6,1,4,13,1,1,8,26,.211,.267,.361,.628,70,48,3,3,0,2,0,46H/5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHI,NL,52,30,22,300.2,152,57,90,5,19,.967,-4,-17,4.40,2.83,2B-SS-3B,,,,,,,,,,,,,,,,,,,,,,,5,PHI,7,62,30,62,49,0,0,0,31,1,20,0,0,0,0,0,16,3
Rick Aguilera,24,NYM,NL,32,57,51,4,8,0,0,2,6,0,0,3,12,.157,.204,.275,.478,32,14,0,0,3,0,0,1/H,R,NL,10,7,.588,3.88,28,20,2,2,0,0,141.2,145,70,61,15,36,1,104,7,3,5,605,93,3.59,1.278,9.2,1.0,2.3,6.6,2.89,R,NYM,NL,28,20,2,141.2,39,13,26,0,1,1.000,,,2.48,1.39,P,,,,,,,,,,,,,,,,,,,,,,,6,NYM,2,32,20,32,28,28,0,0,0,0,0,0,0,0,0,0,4,0
Darrel Akerfelds,24,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,R,AL,0,0,,6.75,2,0,2,0,0,0,5.1,7,5,4,2,3,1,5,0,0,2,26,61,7.46,1.875,11.8,3.4,5.1,8.4,1.67,R,OAK,AL,2,0,0,5.1,2,1,1,0,0,1.000,,,3.38,1.00,P,,,,,,,,,,,,,,,,,,,,,,,7,OAK,1st,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Mike Aldrete,25,SFG,NL,84,256,216,27,54,18,3,2,25,1,3,33,34,.250,.353,.389,.742,110,84,3,2,4,1,4,37H/9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFG,NL,68,56,37,499.1,354,317,36,1,34,.997,4,10,6.36,5.19,1B-OF,,,,,,,,,,,,,,,,,,,,,,,8,SFG,1st,84,55,84,67,0,0,37,0,0,0,30,0,2,31,0,20,2
Doyle Alexander,35,TOT,MLB,18,45,38,2,8,1,0,0,5,0,0,0,8,.211,.205,.237,.442,19,9,2,0,6,1,0,1/H,R,MLB,11,10,.524,4.14,34,34,0,5,0,0,228.1,255,114,105,27,37,2,139,4,0,2,966,99,3.63,1.279,10.1,1.1,1.5,5.5,3.76,R,TOT,ZZ,34,34,5,228.1,42,14,25,3,2,.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,1,0
Doyle Alexander,35,ATL,NL,18,45,38,2,8,1,0,0,5,0,0,0,8,.211,.205,.237,.442,19,9,2,0,6,1,0,1/H,R,NL,6,6,.500,3.84,17,17,0,2,0,0,117.1,135,58,50,9,17,1,74,0,0,1,496,103,2.94,1.295,10.4,0.7,1.3,5.7,4.35,R,TOT,ZZ,34,34,5,228.1,42,14,25,3,2,.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,1,0
Andy Allanson,24,CLE,AL,101,324,293,30,66,7,3,1,29,10,1,14,36,.225,.260,.280,.539,49,82,7,1,11,4,0,2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,99,91,77,792.2,499,446,33,20,4,.960,-10,-15,5.44,4.84,C,CLE,AL,99,91,77,792.2,499,446,33,20,4,.960,-10,-15,-10,5.44,4.84,12,32,64,22,26%,10,CLE,1st,101,91,101,99,0,99,0,0,0,0,0,0,0,0,0,0,2
Bill Almon,33,PIT,NL,102,230,196,29,43,7,2,7,27,11,4,30,38,.219,.319,.383,.701,92,75,5,0,1,3,2,7H56/39,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,NL,105,41,20,444.0,133,80,45,8,4,.940,-2,-5,2.53,1.19,OF-3B-SS-1B,,,,,,,,,,,,,,,,,,,,,,,12,PIT,13,102,41,102,83,0,0,4,0,28,19,53,0,2,54,0,30,11
Ed Amelung,27,LAD,NL,8,11,11,0,1,0,0,0,0,0,0,0,4,.091,.091,.091,.182,-48,1,1,0,0,0,0,/H89,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,4,1,1,16.0,5,5,0,0,0,1.000,1,75,2.81,1.25,OF,,,,,,,,,,,,,,,,,,,,,,,13,LAD,2,8,1,8,4,0,0,0,0,0,0,0,2,2,4,0,4,0
Larry Andersen,33,TOT,NL,48,7,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,R,NL,2,1,.667,3.03,48,0,8,0,0,1,77.1,83,30,26,2,26,10,42,1,0,1,323,121,3.07,1.409,9.7,0.2,3.0,4.9,1.62,R,TOT,NL,48,0,0,77.1,23,10,11,2,3,.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0
Larry Andersen,33,PHI,NL,10,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1,R,NL,0,0,,4.26,10,0,1,0,0,0,12.2,19,8,6,0,3,0,9,0,0,0,55,94,2.06,1.737,13.5,0.0,2.1,6.4,3.00,R,TOT,NL,48,0,0,77.1,23,10,11,2,3,.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0
Larry Andersen,33,HOU,NL,38,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,R,NL,2,1,.667,2.78,38,0,7,0,0,1,64.2,64,22,20,2,23,10,33,1,0,1,268,129,3.27,1.345,8.9,0.3,3.2,4.6,1.43,R,TOT,NL,48,0,0,77.1,23,10,11,2,3,.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0
Allan Anderson,22,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/H,L,AL,3,6,.333,5.55,21,10,3,1,0,0,84.1,106,54,52,11,30,3,51,1,2,2,371,77,4.36,1.613,11.3,1.2,3.2,5.4,1.70,L,MIN,AL,21,10,1,84.1,19,4,14,1,1,.947,,,1.92,0.86,P,,,,,,,,,,,,,,,,,,,,,,,15,MIN,1st,22,10,1,21,21,0,0,0,0,0,0,0,0,0,0,0,1
Dave Anderson,25,LAD,NL,92,241,216,31,53,9,0,1,15,5,1,22,39,.245,.314,.301,.615,76,65,11,0,2,1,1,56H/4,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,90,57,49,564.1,247,77,159,11,21,.955,-5,-10,3.76,2.62,3B-SS-2B,,,,,,,,,,,,,,,,,,,,,,,16,LAD,4,92,57,92,89,0,0,0,5,52,34,0,0,0,0,0,5,10
Rick Anderson,29,NYM,NL,15,12,11,1,1,0,0,0,0,0,0,0,4,.091,.091,.091,.182,-49,1,0,0,1,0,0,1,R,NL,2,1,.667,2.72,15,5,4,0,0,1,49.2,45,17,15,3,11,3,21,0,1,1,201,133,3.38,1.128,8.2,0.5,2.0,3.8,1.91,R,NYM,NL,15,5,0,49.2,12,8,4,0,0,1.000,,,2.17,0.80,P,,,,,,,,,,,,,,,,,,,,,,,17,NYM,1st,15,5,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
Tony Armas,32,BOS,AL,121,453,425,40,112,21,4,11,58,0,3,24,77,.264,.305,.409,.714,93,174,12,2,0,2,1,*89/7HD,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,AL,117,116,50,925.2,259,247,4,8,0,.969,-14,-18,2.44,2.15,OF,,,,,,,,,,,,,,,,,,,,,,,20,BOS,11,121,116,121,117,0,0,0,0,0,0,9,108,19,117,1,4,0
Randy Asadoor,23,SDP,NL,15,60,55,9,20,5,0,0,7,1,2,3,13,.364,.397,.455,.851,137,25,0,0,2,0,1,5/4,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDP,NL,17,15,10,131.2,48,12,31,5,1,.896,-1,-12,2.94,2.53,3B-2B,,,,,,,,,,,,,,,,,,,,,,,25,SDP,1st,15,15,15,15,0,0,0,2,15,0,0,0,0,0,0,0,0
Alan Ashby,34,HOU,NL,120,361,315,24,81,15,0,7,38,1,0,39,56,.257,.333,.371,.705,97,117,7,0,1,6,9,2H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,NL,103,86,62,754.0,685,632,43,10,2,.985,-7,-11,8.06,6.55,C,HOU,NL,103,86,62,754.0,685,632,43,10,2,.985,-7,-11,-7,8.06,6.55,7,21,92,28,23%,26,HOU,14,120,86,120,102,0,102,0,0,0,0,0,0,0,0,0,23,0
Paul Assenmacher,25,ATL,NL,61,8,6,0,0,0,0,0,0,0,0,2,3,.000,.250,.000,.250,-26,0,0,0,0,0,0,1,L,NL,7,3,.700,2.50,61,0,27,0,0,7,68.1,61,23,19,5,26,4,56,0,3,2,287,159,3.22,1.273,8.0,0.7,3.4,7.4,2.15,L,ATL,NL,61,0,0,68.1,20,5,15,0,1,1.000,,,2.63,0.33,P,,,,,,,,,,,,,,,,,,,,,,,27,ATL,1st,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0
Keith Atherton,27,TOT,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,R,AL,6,10,.375,4.08,60,0,36,0,0,10,97.0,100,47,44,11,46,4,67,1,0,2,431,104,4.32,1.505,9.3,1.0,4.3,6.2,1.46,R,TOT,AL,60,0,0,97.0,18,6,11,1,1,.944,,,1.58,0.28,P,,,,,,,,,,,,,,,,,,,,,,,28,2TM,4,60,0,3,60,60,0,0,0,0,0,0,0,0,0,0,0,0
Keith Atherton,27,MIN,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,R,AL,5,8,.385,3.75,47,0,31,0,0,10,81.2,82,37,34,9,35,3,59,1,0,2,356,114,4.08,1.433,9.0,1.0,3.9,6.5,1.69,R,TOT,AL,60,0,0,97.0,18,6,11,1,1,.944,,,1.58,0.28,P,,,,,,,,,,,,,,,,,,,,,,,28,2TM,4,60,0,3,60,60,0,0,0,0,0,0,0,0,0,0,0,0
Wally Backman,26,NYM,NL,124,440,387,67,124,18,2,1,27,13,7,36,32,.320,.376,.385,.761,113,149,3,0,14,3,1,*4H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYM,NL,113,92,78,848.0,493,186,290,17,56,.966,3,4,5.05,4.21,2B,,,,,,,,,,,,,,,,,,,,,,,29,NYM,7,124,92,124,113,0,0,0,113,0,0,0,0,0,0,0,18,3
Scott Bailes,24,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,L,AL,10,10,.500,4.95,62,10,22,0,0,7,112.2,123,70,62,12,43,5,60,1,2,4,500,84,4.26,1.473,9.8,1.0,3.4,4.8,1.40,L,CLE,AL,62,10,0,112.2,18,4,13,1,0,.944,,,1.36,0.27,P,,,,,,,,,,,,,,,,,,,,,,,30,CLE,1st,62,10,1,62,62,0,0,0,0,0,0,0,0,0,0,0,0
Mark Bailey,24,HOU,NL,57,182,153,9,27,5,0,4,15,1,1,28,45,.176,.302,.288,.590,66,44,7,0,0,1,6,2/H3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,NL,54,45,39,406.2,359,322,33,4,3,.989,0,0,7.86,6.57,C-1B,HOU,NL,53,45,39,404.2,355,318,33,4,3,.989,0,0,0,7.81,6.62,1,16,53,26,33%,31,HOU,3,57,45,57,53,0,53,1,0,0,0,0,0,0,0,0,6,0
Harold Baines,27,CHW,AL,145,618,570,72,169,29,2,21,88,2,1,38,89,.296,.338,.465,.803,113,265,14,2,0,8,9,*9/DH,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHW,AL,141,141,130,1228.2,315,295,15,5,5,.984,8,8,2.27,2.20,OF,,,,,,,,,,,,,,,,,,,,,,,32,CHW,7,145,144,145,141,0,0,0,0,0,0,0,0,141,141,3,1,0
Doug Bair,36,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,R,AL,2,3,.400,3.00,31,0,17,0,0,4,45.0,37,15,15,5,18,0,40,0,0,2,189,130,3.64,1.222,7.4,1.0,3.6,8.0,2.22,R,OAK,AL,31,0,0,45.0,9,2,7,0,1,1.000,,,1.80,0.29,P,,,,,,,,,,,,,,,,,,,,,,,33,OAK,11,31,0,1,31,31,0,0,0,0,0,0,0,0,0,0,0,0
Doug Baker,25,DET,AL,13,30,24,1,3,1,0,0,0,0,0,2,7,.125,.192,.167,.359,-1,4,0,0,4,0,0,6/4DH,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,AL,12,9,3,79.2,39,17,21,1,5,.974,-1,-17,4.29,3.17,SS-2B,,,,,,,,,,,,,,,,,,,,,,,34,DET,3,13,9,13,12,0,0,0,2,0,10,0,0,0,0,1,1,0
Dusty Baker,37,OAK,AL,83,271,242,25,58,8,0,4,19,0,1,27,37,.240,.314,.322,.636,80,78,8,0,0,2,1,79DH/3,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK,AL,58,53,23,402.0,94,90,4,0,1,1.000,1,3,2.10,1.62,OF-1B,,,,,,,,,,,,,,,,,,,,,,,35,OAK,19,83,68,83,55,0,0,3,0,0,0,36,0,20,55,15,15,0
Steve Balboni,29,KCR,AL,138,562,512,54,117,25,1,29,88,0,0,43,146,.229,.286,.451,.738,97,231,8,1,0,6,2,*3/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCR,AL,137,136,133,1204.0,1352,1236,98,18,115,.987,-7,-6,9.97,9.74,1B,,,,,,,,,,,,,,,,,,,,,,,36,KCR,6,138,136,138,137,0,0,137,0,0,0,0,0,0,0,0,2,0
Jay Baller,25,CHC,NL,36,6,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,R,NL,2,4,.333,5.37,36,0,16,0,0,5,53.2,58,37,32,7,28,4,42,2,4,2,248,76,4.58,1.602,9.7,1.2,4.7,7.0,1.50,R,CHC,NL,36,0,0,53.2,6,2,4,0,0,1.000,,,1.01,0.17,P,,,,,,,,,,,,,,,,,,,,,,,37,CHC,3,36,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
Chris Bando,30,CLE,AL,92,290,254,28,68,9,0,2,26,0,1,22,49,.268,.325,.327,.652,80,83,8,1,10,3,0,2H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,86,72,64,655.0,393,359,30,4,3,.990,-4,-7,5.35,4.52,C,CLE,AL,86,72,64,655.0,393,359,30,4,3,.990,-4,-7,-4,5.35,4.52,8,31,49,19,28%,38,CLE,6,92,72,92,86,0,86,0,0,0,0,0,0,0,0,0,13,0
Jesse Barfield,26,TOR,AL,158,671,589,107,170,35,2,40,108,8,8,69,146,.289,.368,.559,.927,146,329,9,8,0,5,5,*98/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,AL,157,156,144,1408.0,391,368,20,3,8,.992,21,18,2.48,2.47,OF,,,,,,,,,,,,,,,,,,,,,,,41,TOR,6,158,156,158,157,0,0,0,0,0,0,0,18,147,157,0,1,1
Greg Bargar,27,STL,NL,22,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,R,NL,0,2,.000,5.60,22,0,10,0,0,0,27.1,36,19,17,3,10,1,12,3,0,2,126,66,4.75,1.683,11.9,1.0,3.3,4.0,1.20,R,STL,NL,22,0,0,27.1,10,3,7,0,0,1.000,,,3.29,0.45,P,,,,,,,,,,,,,,,,,,,,,,,42,STL,3,22,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0
Marty Barrett,28,BOS,AL,158,713,625,94,179,39,4,4,60,15,7,65,31,.286,.353,.381,.733,100,238,13,1,18,4,0,*4,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,AL,158,158,152,1390.2,767,303,450,14,104,.982,-6,-5,4.87,4.77,2B,,,,,,,,,,,,,,,,,,,,,,,43,BOS,5,158,158,158,158,0,0,0,158,0,0,0,0,0,0,0,0,0
Kevin Bass,27,HOU,NL,157,640,591,83,184,33,5,20,79,22,13,38,72,.311,.357,.486,.842,134,287,15,6,1,4,11,*98/H7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,NL,155,154,122,1366.2,320,303,12,5,4,.984,11,10,2.07,2.03,OF,,,,,,,,,,,,,,,,,,,,,,,44,HOU,5,157,154,157,155,0,0,0,0,0,0,2,41,133,155,0,3,0
Bill Bathe,25,OAK,AL,39,112,103,9,19,3,0,5,11,0,0,2,20,.184,.208,.359,.567,57,37,2,1,6,0,0,2,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK,AL,39,34,23,290.1,224,211,11,2,1,.991,-2,-8,6.88,5.69,C,OAK,AL,39,34,23,290.1,224,211,11,2,1,.991,-2,-8,-2,6.88,5.69,2,11,32,10,24%,45,OAK,1st,39,34,39,39,0,39,0,0,0,0,0,0,0,0,0,0,0
Don Baylor,37,BOS,AL,160,687,585,93,139,23,1,31,94,3,5,62,111,.238,.344,.439,.783,112,257,12,35,0,5,8,*D3/7H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,AL,16,16,8,125.0,76,71,4,1,7,.987,-1,-8,5.40,4.69,1B-OF,,,,,,,,,,,,,,,,,,,,,,,46,BOS,17,160,159,160,16,0,0,13,0,0,0,3,0,0,3,143,1,0
Billy Beane,24,MIN,AL,80,194,183,20,39,6,0,3,15,2,3,11,54,.213,.258,.295,.553,50,54,6,0,0,0,0,7H/8D9,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,AL,67,47,32,412.1,118,118,0,0,0,1.000,4,12,2.58,1.76,OF,,,,,,,,,,,,,,,,,,,,,,,47,MIN,3,80,50,80,67,0,0,0,0,0,0,64,5,1,67,5,12,6
Joe Beckwith,31,LAD,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,L,NL,0,0,,6.87,15,0,4,0,0,0,18.1,28,16,14,5,6,0,13,0,0,0,86,52,5.88,1.855,13.7,2.5,2.9,6.4,2.17,R,LAD,NL,15,0,0,18.1,1,1,0,0,0,1.000,,,0.49,0.07,P,,,,,,,,,,,,,,,,,,,,,,,49,LAD,7,15,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
Steve Bedrosian,28,PHI,NL,68,6,5,0,1,0,0,0,0,0,0,1,1,.200,.333,.200,.533,49,1,0,0,0,0,0,1,R,NL,8,6,.571,3.39,68,0,56,0,0,29,90.1,79,39,34,12,34,10,82,0,2,5,381,115,3.81,1.251,7.9,1.2,3.4,8.2,2.41,R,PHI,NL,68,0,0,90.1,12,2,10,0,1,1.000,,,1.20,0.18,P,,,,,,,,,,,,,,,,,,,,,,,50,PHI,6,68,0,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0
Buddy Bell,34,CIN,NL,155,655,568,89,158,29,3,20,75,2,8,73,49,.278,.362,.445,.807,119,253,14,5,3,6,4,*5/H4,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIN,NL,152,150,141,1344.2,406,105,291,10,28,.975,-2,-2,2.65,2.61,3B-2B,,,,,,,,,,,,,,,,,,,,,,,51,CIN,15,155,150,155,151,0,0,0,1,151,0,0,0,0,0,0,4,0
George Bell,26,TOR,AL,159,690,641,101,198,38,6,31,108,7,8,41,62,.309,.349,.532,.881,133,341,15,2,0,6,3,*7D/5H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,AL,149,147,133,1302.1,297,270,17,10,1,.966,-8,-8,1.98,1.93,OF-3B,,,,,,,,,,,,,,,,,,,,,,,53,TOR,5,159,158,159,147,0,0,0,0,2,0,147,0,0,147,11,1,0
Jay Bell,20,CLE,AL,5,16,14,3,5,2,0,1,4,0,0,2,3,.357,.438,.714,1.152,211,10,0,0,0,0,0,/4DH,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,2,2,0,12.0,9,1,6,2,1,.778,-1,-50,5.25,3.50,2B,,,,,,,,,,,,,,,,,,,,,,,54,CLE,1st,5,4,5,2,0,0,0,2,0,0,0,0,0,0,2,1,0
Terry Bell,23,KCR,AL,8,5,3,0,0,0,0,0,0,0,0,2,1,.000,.400,.000,.400,21,0,0,0,0,0,0,/2,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCR,AL,8,0,0,16.1,7,7,0,0,0,1.000,0,0,3.86,0.88,C,KCR,AL,8,0,0,16.1,7,7,0,0,0,1.000,0,0,0,3.86,0.88,0,1,1,0,0%,55,KCR,1st,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0
Rafael Belliard,24,PIT,NL,117,350,309,33,72,5,2,0,31,12,2,26,54,.233,.298,.262,.560,55,81,8,3,11,1,6,64/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,NL,119,100,63,831.0,476,147,317,12,50,.975,4,6,5.03,3.90,SS-2B,,,,,,,,,,,,,,,,,,,,,,,56,PIT,5,117,100,117,112,0,0,0,23,0,96,0,0,0,0,0,5,3
Bruce Benedict,30,ATL,NL,64,183,160,11,36,10,1,0,13,1,0,15,10,.225,.298,.300,.598,63,48,9,2,4,1,1,2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,NL,57,49,42,429.0,282,252,28,2,1,.993,3,8,5.87,4.91,C,ATL,NL,57,49,42,429.0,282,252,28,2,1,.993,3,8,3,5.87,4.91,1,13,27,18,40%,57,ATL,9,64,49,64,57,0,57,0,0,0,0,0,0,0,0,0,7,0
Juan Beniquez,36,BAL,AL,113,395,343,48,103,15,0,6,36,2,3,40,49,.300,.372,.397,.769,112,136,12,3,2,6,1,75HD3/98,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAL,AL,93,78,59,694.0,280,211,56,13,15,.954,-6,-10,3.46,2.87,OF-3B-1B,,,,,,,,,,,,,,,,,,,,,,,58,BAL,15,113,87,113,88,0,0,14,0,25,0,44,3,9,54,16,25,0
Juan Berenguer,31,SFG,NL,46,10,7,0,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-19,1,0,0,3,0,0,1,R,NL,2,3,.400,2.70,46,4,17,0,0,4,73.1,64,23,22,4,44,3,72,2,2,4,314,132,3.40,1.473,7.9,0.5,5.4,8.8,1.64,R,SFG,NL,46,4,0,73.1,10,2,7,1,0,.900,,,1.10,0.20,P,,,,,,,,,,,,,,,,,,,,,,,59,SFG,9,46,4,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Berenyi,31,NYM,NL,14,12,11,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,R,NL,2,2,.500,6.35,14,7,2,0,0,0,39.2,47,30,28,5,22,0,30,1,0,4,184,57,4.64,1.739,10.7,1.1,5.0,6.8,1.36,R,NYM,NL,14,7,0,39.2,8,3,5,0,0,1.000,,,1.82,0.57,P,,,,,,,,,,,,,,,,,,,,,,,60,NYM,7,14,7,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0
Dave Bergman,33,DET,AL,65,151,130,14,30,6,1,1,9,0,0,21,16,.231,.338,.315,.653,80,41,3,0,0,0,0,3H/D79,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,AL,43,28,25,279.0,288,255,29,4,30,.986,0,-2,9.16,6.60,1B-OF,,,,,,,,,,,,,,,,,,,,,,,61,DET,11,65,28,65,43,0,0,41,0,0,0,1,0,1,2,8,29,0
Tony Bernazard,29,CLE,AL,146,636,562,88,169,28,4,17,73,17,8,53,77,.301,.362,.456,.818,124,256,6,6,7,8,5,*4/H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,146,144,136,1263.1,810,351,442,17,95,.979,-13,-13,5.65,5.43,2B,,,,,,,,,,,,,,,,,,,,,,,62,CLE,8,146,144,146,146,0,0,0,146,0,0,0,0,0,0,0,1,0
Dale Berra,29,NYY,AL,42,121,108,10,25,7,0,2,13,0,0,9,14,.231,.294,.352,.646,76,38,0,1,2,1,0,65/DH,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYY,AL,37,31,17,244.1,111,40,67,4,11,.964,1,4,3.94,2.89,SS-3B,,,,,,,,,,,,,,,,,,,,,,,63,NYY,10,42,35,42,35,0,0,0,0,18,19,0,0,0,0,4,3,1
