Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos_Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos_Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR,Primary_Pos_fld,rbi_per_g,clutch,bat_letter,hr_rate,hr_num_bat,triple_rate,triple_val,triple_num,speed_score,speed_rating,walk_rate,bb_num,k_rate,k_val,k_num,hbp_rate,hbp_num,hbp_val,hit_rate,batter_rating,BAA,pit_letter,IP_real,IE,bb_rate,bb_num_pit,k_rate_pit,k_val_pit,k_num_pit,hbp_rate_pit,hbp_val_pit,hbp_num_pit,WP_num,hr_rate_pit,gopher_ball,control_rate,PCN,hit_rate_pit,PPH,goph_lett_inn,bb_k_hbp,pitcher_rating
Dennis Burtt,28,MIN,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,0.0,0.0,,31.5,3.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,7.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,12.77,5.0,31.5,4.5,13.5,4.5,0.33,R,MIN,AL,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,P,,,,,,,,,,,,,,,,,,,,,,,119,MIN,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.5384615384615384,Z,2.0,1,7.0,21,2.0,9.0,23,0,0.0,,,0.14285714285714285,+,22.0,32,16.0,43,+Z1,(21-23) ,+Z1 (21-23)  
John Butcher,29,TOT,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,1.0,8.0,0.111,6.56,29.0,18.0,5.0,2.0,1.0,0.0,120.2,168.0,93.0,88.0,17.0,37.0,1.0,45.0,4.0,0.0,6.0,554.0,65.0,4.88,1.699,12.5,1.3,2.8,3.4,1.22,R,TOT,AL,29.0,18.0,2.0,120.2,27.0,9.0,15.0,3.0,2.0,0.889,,,1.79,0.83,P,,,,,,,,,,,,,,,,,,,,,,,121,2TM,7,29,18,0,29,29,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.32748538011695905,Y,120.66666666666667,4,2.0,12,3.0,5.0,15,0,0.0,,[WP],0.10119047619047619,+,14.0,44,11.0,52,+Y4,(12-15) ,+Y4 (12-15)  [WP]
John Butcher,29,MIN,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,0.0,3.0,0.0,6.3,16.0,10.0,1.0,1.0,0.0,0.0,70.0,82.0,50.0,49.0,11.0,24.0,1.0,29.0,1.0,0.0,4.0,308.0,68.0,5.06,1.514,10.5,1.4,3.1,3.7,1.21,R,TOT,AL,29.0,18.0,2.0,120.2,27.0,9.0,15.0,3.0,2.0,0.889,,,1.79,0.83,P,,,,,,,,,,,,,,,,,,,,,,,121,2TM,7,29,18,0,29,29,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.28975265017667845,X,70.0,4,3.0,13,3.0,6.0,16,0,0.0,,,0.13414634146341464,+,13.0,45,10.0,53,+X4,(13-16) ,+X4 (13-16)  
John Butcher,29,CLE,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,1.0,5.0,0.16699999999999998,6.93,13.0,8.0,4.0,1.0,1.0,0.0,50.2,86.0,43.0,39.0,6.0,13.0,0.0,16.0,3.0,0.0,2.0,246.0,60.0,4.63,1.954,15.3,1.1,2.3,2.8,1.23,R,TOT,AL,29.0,18.0,2.0,120.2,27.0,9.0,15.0,3.0,2.0,0.889,,,1.79,0.83,P,,,,,,,,,,,,,,,,,,,,,,,121,2TM,7,29,18,0,29,29,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.3739130434782609,Z,50.66666666666668,4,2.0,12,2.0,4.0,14,0,0.0,,,0.06976744186046512,,15.0,43,13.0,46,Z4,(12-14) ,Z4 (12-14)  
Ernie Camacho,31,CLE,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,2.0,4.0,0.333,4.08,51.0,0.0,37.0,0.0,0.0,20.0,57.1,60.0,26.0,26.0,1.0,31.0,6.0,36.0,2.0,1.0,3.0,267.0,102.0,3.47,1.587,9.4,0.2,4.9,5.7,1.16,R,CLE,AL,51.0,0.0,0.0,57.1,17.0,5.0,11.0,1.0,0.0,0.941,,,2.51,0.31,P,,,,,,,,,,,,,,,,,,,,,,,127,CLE,6,51,0,0,51,51,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.2564102564102564,W,57.333333333333336,1,4.0,14,5.0,9.0,23,0,0.0,,,0.016666666666666666,-,13.0,45,8.0,55,-W1,(14-23) ,-W1 (14-23)  
John Candelaria,32,CAL,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,10.0,2.0,0.833,2.55,16.0,16.0,0.0,1.0,1.0,0.0,91.2,68.0,30.0,26.0,4.0,26.0,2.0,81.0,3.0,1.0,2.0,365.0,161.0,2.52,1.025,6.7,0.4,2.6,8.0,3.12,L,CAL,AL,16.0,16.0,1.0,91.2,13.0,3.0,10.0,0.0,0.0,1.0,,,1.28,0.81,P,,,,,,,,,,,,,,,,,,,,,,,130,CAL,12,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.20238095238095238,L,91.66666666666667,6,3.0,13,8.0,11.0,25,0,0.0,,,0.058823529411764705,,10.0,52,7.0,56,L6,(13-25) ,L6 (13-25)  
Tom Candiotti,28,CLE,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,16.0,12.0,0.5710000000000001,3.57,36.0,34.0,1.0,17.0,3.0,0.0,252.1,234.0,112.0,100.0,18.0,106.0,0.0,167.0,8.0,4.0,12.0,1078.0,116.0,3.73,1.347,8.3,0.6,3.8,6.0,1.58,R,CLE,AL,36.0,34.0,17.0,252.1,71.0,27.0,41.0,3.0,7.0,0.958,,,2.43,1.89,P,,,,,,,,,,,,,,,,,,,,,,,131,CLE,3,36,34,0,36,36,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.24273858921161826,M,252.33333333333331,7,4.0,14,6.0,10.0,24,0,0.0,,[WP],0.07692307692307693,,12.0,46,8.0,55,M7,(14-24) ,M7 (14-24)  [WP]
Steve Carlton,41,CHW,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,4.0,3.0,0.5710000000000001,3.69,10.0,10.0,0.0,0.0,0.0,0.0,63.1,58.0,30.0,26.0,6.0,25.0,0.0,40.0,0.0,1.0,2.0,259.0,118.0,3.92,1.311,8.2,0.9,3.6,5.7,1.6,L,TOT,ZZ,32.0,32.0,0.0,176.1,27.0,4.0,23.0,0.0,2.0,1.0,,,1.38,0.84,P,,,,,,,,,,,,,,,,,,,,,,,134,3TM,22,32,32,22,32,32,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.24786324786324787,M,63.333333333333336,6,3.0,13,6.0,9.0,23,0,0.0,,,0.10344827586206896,+,12.0,46,8.0,55,+M6,(13-23) ,+M6 (13-23)  
Chuck Cary,26,DET,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,1.0,2.0,0.333,3.41,22.0,0.0,6.0,0.0,0.0,0.0,31.2,33.0,18.0,12.0,3.0,15.0,4.0,21.0,0.0,1.0,1.0,140.0,123.0,4.1,1.516,9.4,0.9,4.3,6.0,1.4,L,DET,AL,22.0,0.0,0.0,31.2,5.0,4.0,1.0,0.0,0.0,1.0,,,1.42,0.23,P,,,,,,,,,,,,,,,,,,,,,,,138,DET,2,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.264,W,31.666666666666664,1,4.0,14,5.0,9.0,23,0,0.0,,,0.09090909090909091,,12.0,46,8.0,55,W1,(14-23) ,W1 (14-23)  
Bill Caudill,29,TOR,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AL,2.0,4.0,0.333,6.19,40.0,0.0,20.0,0.0,0.0,2.0,36.1,36.0,25.0,25.0,6.0,17.0,1.0,32.0,2.0,1.0,0.0,163.0,69.0,4.73,1.459,8.9,1.5,4.2,7.9,1.88,R,TOR,AL,40.0,0.0,0.0,36.1,3.0,1.0,2.0,0.0,0.0,1.0,,,0.74,0.08,P,,,,,,,,,,,,,,,,,,,,,,,141,TOR,8,40,0,0,40,40,0,0,0,0,0,0,0,0,0,0,66,0,P,,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.25,W,36.333333333333336,1,4.0,14,7.0,11.0,25,0,0.0,,,0.16666666666666666,+,12.0,46,8.0,55,+W1,(14-25) ,+W1 (14-25)  
