Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos_Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos_Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR,Primary_Pos_fld,rbi_per_g,clutch,bat_letter,hr_rate,hr_num_bat,triple_rate,triple_val,triple_num,speed_score,speed_rating,walk_rate,bb_num,k_rate,k_val,k_num,hbp_rate,hbp_num,hbp_val,hit_rate,batter_rating,BAA,pit_letter,IP_real,IE,bb_rate,bb_num_pit,k_rate_pit,k_val_pit,k_num_pit,hbp_rate_pit,hbp_val_pit,hbp_num_pit,WP_num,hr_rate_pit,gopher_ball,control_rate,PCN,hit_rate_pit,PPH,goph_lett_inn,bb_k_hbp,pitcher_rating
Jim Acker,27,TOT,MLB,21.0,28.0,28.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.107,0.107,0.14300000000000002,0.25,-33.0,4.0,0.0,0.0,0.0,0.0,0.0,1,R,MLB,5.0,12.0,0.294,4.01,44.0,19.0,9.0,0.0,0.0,0.0,155.0,163.0,81.0,69.0,13.0,48.0,6.0,69.0,3.0,1.0,5.0,661.0,102.0,3.96,1.361,9.5,0.8,2.8,4.0,1.44,R,TOT,ZZ,44.0,19.0,0.0,155.0,44.0,16.0,28.0,0.0,4.0,1.0,,,2.55,1.0,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,63,0,P,0.0,,E,0,,0,0,,0.0,,0,n,27,27,53,0,,0.0,4,E (n-53),0.26721311475409837,W,155.0,4,3.0,13,4.0,7.0,21,0,0.0,,[WP],0.07975460122699386,,12.0,46,9.0,54,W4,(13-21) ,W4 (13-21)  [WP]
Jim Acker,27,ATL,NL,21.0,28.0,28.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.107,0.107,0.14300000000000002,0.25,-33.0,4.0,0.0,0.0,0.0,0.0,0.0,1,R,NL,3.0,8.0,0.273,3.79,21.0,14.0,3.0,0.0,0.0,0.0,95.0,100.0,47.0,40.0,7.0,26.0,3.0,37.0,1.0,0.0,2.0,402.0,105.0,3.8,1.3259999999999998,9.5,0.7,2.5,3.5,1.42,R,TOT,ZZ,44.0,19.0,0.0,155.0,44.0,16.0,28.0,0.0,4.0,1.0,,,2.55,1.0,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,63,0,P,0.0,,E,0,,0,0,,0.0,,0,n,27,27,53,0,,0.0,4,E (n-53),0.26666666666666666,W,95.0,5,2.0,12,3.0,5.0,15,0,0.0,,,0.07,,11.0,51,9.0,54,W5,(12-15) ,W5 (12-15)  
Jim Adduci,26,MIL,AL,3.0,13.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.091,0.16699999999999998,0.182,0.348,-6.0,2.0,0.0,0.0,1.0,0.0,0.0,/3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,AL,3.0,3.0,3.0,24.2,28.0,25.0,3.0,0.0,1.0,1.0,0.0,-15.0,10.22,9.33,1B,,,,,,,,,,,,,,,,,,,,,,,3,MIL,2,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,64,0,1B,0.0,,E,0,,0,0,,0.0,,3,13,6,9,23,0,,0.0,3,E (13-23),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Luis Aguayo,27,PHI,NL,62.0,146.0,133.0,17.0,28.0,6.0,1.0,4.0,13.0,1.0,1.0,8.0,26.0,0.211,0.267,0.361,0.628,70.0,48.0,3.0,3.0,0.0,2.0,0.0,46H/5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHI,NL,52.0,30.0,22.0,300.2,152.0,57.0,90.0,5.0,19.0,0.967,-4.0,-17.0,4.4,2.83,2B-SS-3B,,,,,,,,,,,,,,,,,,,,,,,5,PHI,7,62,30,62,49,0,0,0,31,1,20,0,0,0,0,0,56,3,2B,0.20967741935483872,,C,5,15.0,1,6,(16),0.03571428571428571,,2,12,6,8,22,1,/23,9.0,7,C15(16) (12-22/23),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Rick Aguilera,24,NYM,NL,32.0,57.0,51.0,4.0,8.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,12.0,0.157,0.204,0.275,0.478,32.0,14.0,0.0,0.0,3.0,0.0,0.0,1/H,R,NL,10.0,7.0,0.588,3.88,28.0,20.0,2.0,2.0,0.0,0.0,141.2,145.0,70.0,61.0,15.0,36.0,1.0,104.0,7.0,3.0,5.0,605.0,93.0,3.59,1.278,9.2,1.0,2.3,6.6,2.89,R,NYM,NL,28.0,20.0,2.0,141.2,39.0,13.0,26.0,0.0,1.0,1.0,,,2.48,1.39,P,,,,,,,,,,,,,,,,,,,,,,,6,NYM,2,32,20,32,28,28,0,0,0,0,0,0,0,0,0,0,62,0,P,0.1875,,D,9,23.0,0,0,,0.0,,2,12,8,10,24,0,,0.0,5,D23 (12-24),0.2580071174377224,W,141.66666666666663,5,2.0,12,6.0,8.0,22,0,0.0,,[WP],0.10344827586206896,+,11.0,51,9.0,54,+W5,(12-22) ,+W5 (12-22)  [WP]
Darrel Akerfelds,24,OAK,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,R,AL,0.0,0.0,,6.75,2.0,0.0,2.0,0.0,0.0,0.0,5.1,7.0,5.0,4.0,2.0,3.0,1.0,5.0,0.0,0.0,2.0,26.0,61.0,7.46,1.875,11.8,3.4,5.1,8.4,1.67,R,OAK,AL,2.0,0.0,0.0,5.1,2.0,1.0,1.0,0.0,0.0,1.0,,,3.38,1.0,P,,,,,,,,,,,,,,,,,,,,,,,7,OAK,1st,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.30434782608695654,X,5.333333333333332,3,4.0,14,7.0,11.0,25,0,0.0,,,0.2857142857142857,+,14.0,44,10.0,53,+X3,(14-25) ,+X3 (14-25)  
Mike Aldrete,25,SFG,NL,84.0,256.0,216.0,27.0,54.0,18.0,3.0,2.0,25.0,1.0,3.0,33.0,34.0,0.25,0.353,0.389,0.742,110.0,84.0,3.0,2.0,4.0,1.0,4.0,37H/9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFG,NL,68.0,56.0,37.0,499.1,354.0,317.0,36.0,1.0,34.0,0.997,4.0,10.0,6.36,5.19,1B-OF,,,,,,,,,,,,,,,,,,,,,,,8,SFG,1st,84,55,84,67,0,0,37,0,0,0,30,0,2,31,0,55,2,1B,0.2976190476190476,,C+,1,11.0,2,3,(13),0.015151515151515154,,5,15,5,10,24,0,,0.0,8,C+11(13) (15-24),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Doyle Alexander,35,TOT,MLB,18.0,45.0,38.0,2.0,8.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.211,0.205,0.237,0.442,19.0,9.0,2.0,0.0,6.0,1.0,0.0,1/H,R,MLB,11.0,10.0,0.524,4.14,34.0,34.0,0.0,5.0,0.0,0.0,228.1,255.0,114.0,105.0,27.0,37.0,2.0,139.0,4.0,0.0,2.0,966.0,99.0,3.63,1.279,10.1,1.1,1.5,5.5,3.76,R,TOT,ZZ,34.0,34.0,5.0,228.1,42.0,14.0,25.0,3.0,2.0,0.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,61,0,P,0.2777777777777778,,C,0,,0,0,,0.0,,0,n,6,6,16,0,,0.0,6,C (n-16),0.2756756756756757,W,228.33333333333331,7,1.0,11,5.0,6.0,16,0,0.0,,,0.10588235294117647,+,11.0,51,10.0,53,+W7,(11-16) ,+W7 (11-16)  
Doyle Alexander,35,ATL,NL,18.0,45.0,38.0,2.0,8.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.211,0.205,0.237,0.442,19.0,9.0,2.0,0.0,6.0,1.0,0.0,1/H,R,NL,6.0,6.0,0.5,3.84,17.0,17.0,0.0,2.0,0.0,0.0,117.1,135.0,58.0,50.0,9.0,17.0,1.0,74.0,0.0,0.0,1.0,496.0,103.0,2.94,1.295,10.4,0.7,1.3,5.7,4.35,R,TOT,ZZ,34.0,34.0,5.0,228.1,42.0,14.0,25.0,3.0,2.0,0.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,61,0,P,0.2777777777777778,,C,0,,0,0,,0.0,,0,n,6,6,16,0,,0.0,6,C (n-16),0.2818371607515658,X,117.33333333333331,7,1.0,11,5.0,6.0,16,0,0.0,,,0.06666666666666667,,11.0,51,10.0,53,X7,(11-16) ,X7 (11-16)  
Andy Allanson,24,CLE,AL,101.0,324.0,293.0,30.0,66.0,7.0,3.0,1.0,29.0,10.0,1.0,14.0,36.0,0.225,0.26,0.28,0.539,49.0,82.0,7.0,1.0,11.0,4.0,0.0,2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,99.0,91.0,77.0,792.2,499.0,446.0,33.0,20.0,4.0,0.96,-10.0,-15.0,5.44,4.84,C,CLE,AL,99.0,91.0,77.0,792.2,499.0,446.0,33.0,20.0,4.0,0.96,-10.0,-15.0,-10.0,5.44,4.84,12.0,32.0,64.0,22.0,26%,10,CLE,1st,101,91,101,99,0,99,0,0,0,0,0,0,0,0,0,56,2,C,0.2871287128712871,,C+,1,11.0,2,3,(13),0.14285714285714285,**,2,12,4,6,16,0,,0.0,7,C+11(13)** (12-16),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Bill Almon,33,PIT,NL,102.0,230.0,196.0,29.0,43.0,7.0,2.0,7.0,27.0,11.0,4.0,30.0,38.0,0.219,0.319,0.383,0.701,92.0,75.0,5.0,0.0,1.0,3.0,2.0,7H56/39,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,NL,105.0,41.0,20.0,444.0,133.0,80.0,45.0,8.0,4.0,0.94,-2.0,-5.0,2.53,1.19,OF-3B-SS-1B,,,,,,,,,,,,,,,,,,,,,,,12,PIT,13,102,41,102,83,0,0,4,0,28,19,53,0,2,54,0,56,11,OF,0.2647058823529412,,C,6,16.0,2,8,(22),0.19298245614035087,**,5,15,6,11,25,0,,0.0,7,C16(22)** (15-25),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Ed Amelung,27,LAD,NL,8.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.091,0.091,0.091,0.182,-48.0,1.0,1.0,0.0,0.0,0.0,0.0,/H89,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,4.0,1.0,1.0,16.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,75.0,2.81,1.25,OF,,,,,,,,,,,,,,,,,,,,,,,13,LAD,2,8,1,8,4,0,0,0,0,0,0,0,2,2,4,0,64,0,OF,0.0,,E,0,,0,0,,0.0,,0,n,13,13,31,0,,0.0,3,E (n-31),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Larry Andersen,33,TOT,NL,48.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,1.0,0.0,0.0,1,R,NL,2.0,1.0,0.667,3.03,48.0,0.0,8.0,0.0,0.0,1.0,77.1,83.0,30.0,26.0,2.0,26.0,10.0,42.0,1.0,0.0,1.0,323.0,121.0,3.07,1.409,9.7,0.2,3.0,4.9,1.62,R,TOT,NL,48.0,0.0,0.0,77.1,23.0,10.0,11.0,2.0,3.0,0.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,15,15,33,0,,0.0,0,G (n-33),0.28040540540540543,X,77.33333333333331,2,3.0,13,5.0,8.0,22,0,0.0,,,0.024096385542168676,-,12.0,46,9.0,54,-X2,(13-22) ,-X2 (13-22)  
Larry Andersen,33,PHI,NL,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1,R,NL,0.0,0.0,,4.26,10.0,0.0,1.0,0.0,0.0,0.0,12.2,19.0,8.0,6.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,55.0,94.0,2.06,1.737,13.5,0.0,2.1,6.4,3.0,R,TOT,NL,48.0,0.0,0.0,77.1,23.0,10.0,11.0,2.0,3.0,0.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.36538461538461536,Z,12.666666666666664,1,2.0,12,6.0,8.0,22,0,0.0,,,0.0,-,14.0,44,12.0,51,-Z1,(12-22) ,-Z1 (12-22)  
Larry Andersen,33,HOU,NL,38.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,R,NL,2.0,1.0,0.667,2.78,38.0,0.0,7.0,0.0,0.0,1.0,64.2,64.0,22.0,20.0,2.0,23.0,10.0,33.0,1.0,0.0,1.0,268.0,129.0,3.27,1.345,8.9,0.3,3.2,4.6,1.43,R,TOT,NL,48.0,0.0,0.0,77.1,23.0,10.0,11.0,2.0,3.0,0.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,18,18,36,0,,0.0,0,G (n-36),0.26229508196721313,W,64.66666666666667,2,3.0,13,4.0,7.0,21,0,0.0,,,0.03125,-,12.0,46,9.0,54,-W2,(13-21) ,-W2 (13-21)  
Allan Anderson,22,MIN,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1/H,L,AL,3.0,6.0,0.333,5.55,21.0,10.0,3.0,1.0,0.0,0.0,84.1,106.0,54.0,52.0,11.0,30.0,3.0,51.0,1.0,2.0,2.0,371.0,77.0,4.36,1.6130000000000002,11.3,1.2,3.2,5.4,1.7,L,MIN,AL,21.0,10.0,1.0,84.1,19.0,4.0,14.0,1.0,1.0,0.947,,,1.92,0.86,P,,,,,,,,,,,,,,,,,,,,,,,15,MIN,1st,22,10,1,21,21,0,0,0,0,0,0,0,0,0,0,66,1,P,0.0,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.31176470588235294,Y,84.33333333333331,4,3.0,13,5.0,8.0,22,0,0.0,,,0.10377358490566038,+,13.0,45,10.0,53,+Y4,(13-22) ,+Y4 (13-22)  
Dave Anderson,25,LAD,NL,92.0,241.0,216.0,31.0,53.0,9.0,0.0,1.0,15.0,5.0,1.0,22.0,39.0,0.245,0.314,0.301,0.615,76.0,65.0,11.0,0.0,2.0,1.0,1.0,56H/4,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,90.0,57.0,49.0,564.1,247.0,77.0,159.0,11.0,21.0,0.955,-5.0,-10.0,3.76,2.62,3B-SS-2B,,,,,,,,,,,,,,,,,,,,,,,16,LAD,4,92,57,92,89,0,0,0,5,52,34,0,0,0,0,0,55,10,3B,0.16304347826086954,,C+,1,11.0,0,0,,0.07692307692307693,*,3,13,6,9,23,0,,0.0,8,C+11* (13-23),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Rick Anderson,29,NYM,NL,15.0,12.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.091,0.091,0.091,0.182,-49.0,1.0,0.0,0.0,1.0,0.0,0.0,1,R,NL,2.0,1.0,0.667,2.72,15.0,5.0,4.0,0.0,0.0,1.0,49.2,45.0,17.0,15.0,3.0,11.0,3.0,21.0,0.0,1.0,1.0,201.0,133.0,3.38,1.128,8.2,0.5,2.0,3.8,1.91,R,NYM,NL,15.0,5.0,0.0,49.2,12.0,8.0,4.0,0.0,0.0,1.0,,,2.17,0.8,P,,,,,,,,,,,,,,,,,,,,,,,17,NYM,1st,15,5,15,15,15,0,0,0,0,0,0,0,0,0,0,64,0,P,0.0,,E,0,,0,0,,0.0,,0,n,12,12,26,0,,0.0,3,E (n-26),0.23684210526315788,M,49.66666666666668,3,2.0,12,4.0,6.0,16,0,0.0,,,0.06666666666666667,,10.0,52,8.0,55,M3,(12-16) ,M3 (12-16)  
Tony Armas,32,BOS,AL,121.0,453.0,425.0,40.0,112.0,21.0,4.0,11.0,58.0,0.0,3.0,24.0,77.0,0.264,0.305,0.409,0.7140000000000001,93.0,174.0,12.0,2.0,0.0,2.0,1.0,*89/7HD,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,AL,117.0,116.0,50.0,925.2,259.0,247.0,4.0,8.0,0.0,0.969,-14.0,-18.0,2.44,2.15,OF,,,,,,,,,,,,,,,,,,,,,,,20,BOS,11,121,116,121,117,0,0,0,0,0,0,9,108,19,117,1,54,0,OF,0.4793388429752066,,B,4,14.0,1,5,(15),0.0,,2,12,6,8,22,0,,0.0,9,B14(15) (12-22),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Randy Asadoor,23,SDP,NL,15.0,60.0,55.0,9.0,20.0,5.0,0.0,0.0,7.0,1.0,2.0,3.0,13.0,0.364,0.397,0.455,0.851,137.0,25.0,0.0,0.0,2.0,0.0,1.0,5/4,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDP,NL,17.0,15.0,10.0,131.2,48.0,12.0,31.0,5.0,1.0,0.8959999999999999,-1.0,-12.0,2.94,2.53,3B-2B,,,,,,,,,,,,,,,,,,,,,,,25,SDP,1st,15,15,15,15,0,0,0,2,15,0,0,0,0,0,0,51,0,3B,0.4666666666666667,,AA,0,,0,0,,0.05555555555555555,,2,12,8,10,24,0,,0.0,12,AA (12-24),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Alan Ashby,34,HOU,NL,120.0,361.0,315.0,24.0,81.0,15.0,0.0,7.0,38.0,1.0,0.0,39.0,56.0,0.257,0.333,0.371,0.705,97.0,117.0,7.0,0.0,1.0,6.0,9.0,2H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,NL,103.0,86.0,62.0,754.0,685.0,632.0,43.0,10.0,2.0,0.985,-7.0,-11.0,8.06,6.55,C,HOU,NL,103.0,86.0,62.0,754.0,685.0,632.0,43.0,10.0,2.0,0.985,-7.0,-11.0,-7.0,8.06,6.55,7.0,21.0,92.0,28.0,23%,26,HOU,14,120,86,120,102,0,102,0,0,0,0,0,0,0,0,0,55,0,C,0.31666666666666665,,B,3,13.0,0,0,,0.010204081632653059,,4,14,6,10,24,0,,0.0,8,B13 (14-24),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Paul Assenmacher,25,ATL,NL,61.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.25,0.0,0.25,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,L,NL,7.0,3.0,0.7,2.5,61.0,0.0,27.0,0.0,0.0,7.0,68.1,61.0,23.0,19.0,5.0,26.0,4.0,56.0,0.0,3.0,2.0,287.0,159.0,3.22,1.273,8.0,0.7,3.4,7.4,2.15,L,ATL,NL,61.0,0.0,0.0,68.1,20.0,5.0,15.0,0.0,1.0,1.0,,,2.63,0.33,P,,,,,,,,,,,,,,,,,,,,,,,27,ATL,1st,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,9,23,14,23,45,0,,0.0,0,G (23-45),0.23371647509578544,M,68.33333333333331,1,3.0,13,7.0,10.0,24,0,0.0,,,0.08196721311475409,,11.0,51,8.0,55,M1,(13-24) ,M1 (13-24)  
Keith Atherton,27,TOT,AL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,R,AL,6.0,10.0,0.375,4.08,60.0,0.0,36.0,0.0,0.0,10.0,97.0,100.0,47.0,44.0,11.0,46.0,4.0,67.0,1.0,0.0,2.0,431.0,104.0,4.32,1.505,9.3,1.0,4.3,6.2,1.46,R,TOT,AL,60.0,0.0,0.0,97.0,18.0,6.0,11.0,1.0,1.0,0.944,,,1.58,0.28,P,,,,,,,,,,,,,,,,,,,,,,,28,2TM,4,60,0,3,60,60,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.2604166666666667,W,97.0,2,4.0,14,6.0,10.0,24,0,0.0,,,0.11,+,12.0,46,8.0,55,+W2,(14-24) ,+W2 (14-24)  
Keith Atherton,27,MIN,AL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,R,AL,5.0,8.0,0.385,3.75,47.0,0.0,31.0,0.0,0.0,10.0,81.2,82.0,37.0,34.0,9.0,35.0,3.0,59.0,1.0,0.0,2.0,356.0,114.0,4.08,1.433,9.0,1.0,3.9,6.5,1.69,R,TOT,AL,60.0,0.0,0.0,97.0,18.0,6.0,11.0,1.0,1.0,0.944,,,1.58,0.28,P,,,,,,,,,,,,,,,,,,,,,,,28,2TM,4,60,0,3,60,60,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.25625,W,81.66666666666667,2,4.0,14,6.0,10.0,24,0,0.0,,,0.10975609756097561,+,12.0,46,8.0,55,+W2,(14-24) ,+W2 (14-24)  
Wally Backman,26,NYM,NL,124.0,440.0,387.0,67.0,124.0,18.0,2.0,1.0,27.0,13.0,7.0,36.0,32.0,0.32,0.376,0.385,0.7609999999999999,113.0,149.0,3.0,0.0,14.0,3.0,1.0,*4H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYM,NL,113.0,92.0,78.0,848.0,493.0,186.0,290.0,17.0,56.0,0.966,3.0,4.0,5.05,4.21,2B,,,,,,,,,,,,,,,,,,,,,,,29,NYM,7,124,92,124,113,0,0,0,113,0,0,0,0,0,0,0,53,3,2B,0.21774193548387094,,A,0,,1,1,(11),0.09352517985611512,*,3,13,3,6,16,0,,0.0,10,A(11)* (13-16),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Scott Bailes,24,CLE,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,L,AL,10.0,10.0,0.5,4.95,62.0,10.0,22.0,0.0,0.0,7.0,112.2,123.0,70.0,62.0,12.0,43.0,5.0,60.0,1.0,2.0,4.0,500.0,84.0,4.26,1.473,9.8,1.0,3.4,4.8,1.4,L,CLE,AL,62.0,10.0,0.0,112.2,18.0,4.0,13.0,1.0,0.0,0.944,,,1.36,0.27,P,,,,,,,,,,,,,,,,,,,,,,,30,CLE,1st,62,10,1,62,62,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.26973684210526316,W,112.66666666666667,2,3.0,13,4.0,7.0,21,0,0.0,,,0.0975609756097561,,12.0,46,9.0,54,W2,(13-21) ,W2 (13-21)  
Mark Bailey,24,HOU,NL,57.0,182.0,153.0,9.0,27.0,5.0,0.0,4.0,15.0,1.0,1.0,28.0,45.0,0.17600000000000002,0.302,0.28800000000000003,0.59,66.0,44.0,7.0,0.0,0.0,1.0,6.0,2/H3,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,NL,54.0,45.0,39.0,406.2,359.0,322.0,33.0,4.0,3.0,0.989,0.0,0.0,7.86,6.57,C-1B,HOU,NL,53.0,45.0,39.0,404.2,355.0,318.0,33.0,4.0,3.0,0.989,0.0,0.0,0.0,7.81,6.62,1.0,16.0,53.0,26.0,33%,31,HOU,3,57,45,57,53,0,53,1,0,0,0,0,0,0,0,0,62,0,C,0.2631578947368421,,D+,5,15.0,0,0,,0.021739130434782608,,6,16,9,15,33,0,,0.0,5,D+15 (16-33),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Harold Baines,27,CHW,AL,145.0,618.0,570.0,72.0,169.0,29.0,2.0,21.0,88.0,2.0,1.0,38.0,89.0,0.29600000000000004,0.338,0.465,0.8029999999999999,113.0,265.0,14.0,2.0,0.0,8.0,9.0,*9/DH,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHW,AL,141.0,141.0,130.0,1228.2,315.0,295.0,15.0,5.0,5.0,0.984,8.0,8.0,2.27,2.2,OF,,,,,,,,,,,,,,,,,,,,,,,32,CHW,7,145,144,145,141,0,0,0,0,0,0,0,0,141,141,3,53,0,OF,0.6068965517241379,#,B+,4,14.0,0,0,,0.012738853503184714,,2,12,5,7,21,0,,0.0,10,#B+14 (12-21),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
